1,Adam,Emanuel,none,387-17-1369 ,140,Adam1
2,Alan,Hyde,none,969-21-2741 ,141,Alan2
3,Albert,Davis,none,668-78-9226 ,142,Albert3
4,Amory,Crane,none,689-48-8430 ,143,Amory4
5,Anibal,Schakowsky,none,652-58-7355 ,144,Anibal5
6,Anne,Kirk,rep.kirk@yahoo.com,623-87-0203 ,145,Anne6
7,Anthony,Weller,none,780-52-0498 ,146,Anthony7
8,Barbara,Costello,none,599-98-7962 ,147,Barbara8
9,Barney,Biggert,none,058-86-1065 ,148,Barney9
10,Baron,Hastert,speaker@yahoo.com,075-45-4923 ,149,Baron10
11,Bart,Johnson,none,705-77-1529 ,150,Bart11
12,Bart,Manzullo,none,231-22-6984 ,151,Bart12
13,Ben,Evans,lane.evans@yahoo.com,629-49-9436 ,152,Ben13
14,Bennie,LaHood,none,355-68-5662 ,153,Bennie14
15,Bernie,Shimkus,none,014-23-9310 ,154,Bernie15
16,Betty,Visclosky,none,722-45-1541 ,155,Betty16
17,Bill,Chocola,none,168-14-3559 ,156,Bill17
18,Bill,Souder,souder@yahoo.com,409-55-5708 ,157,Bill18
19,Billy,Buyer,none,495-04-5805 ,158,Billy19
20,Bob,Burton,none,644-90-2423 ,159,Bob20
21,Bob,Pence,mike.pence@yahoo.com,695-44-8697 ,160,Bob21
22,Bob,Carson,rep.carson@yahoo.com,101-21-6467 ,161,Bob22
23,Brad,Hostettler,John.Hostettler@yahoo.com,116-46-5997 ,162,Brad23
24,Brad,Hill,none,356-79-2379 ,163,Brad24
25,Brian,Moran,jerry.moran@yahoo.com,673-11-6193 ,164,Brian25
26,Candice,Ryun,none,708-74-2554 ,165,Candice26
27,Carolyn,Moore,none,472-25-4810 ,166,Carolyn27
28,Carolyn,Tiahrt,none,414-70-5153 ,167,Carolyn28
29,Carolyn,Whitfield,ed.whitfield@yahoo.com,763-04-6560 ,168,Carolyn29
30,Cass,Lewis,none,512-90-6568 ,169,Cass30
31,Chaka,Northup,none,748-21-5408 ,170,Chaka31
32,Charles,Lucas,none,390-45-5740 ,171,Charles32
33,Charles,Rogers,none,369-84-9212 ,172,Charles33
34,Charles,Fletcher,none,693-75-8197 ,173,Charles34
35,Charles,Vitter,none,175-34-7403 ,174,Charles35
36,Charlie,Jefferson,none,550-36-1287 ,175,Charlie36
37,Charlie,Tauzin,none,356-80-9094 ,176,Charlie37
38,Chet,McCrery,none,413-99-1558 ,177,Chet38
39,Chris,Alexander,none,926-11-6575 ,178,Chris39
40,Chris,Baker,none,332-92-7608 ,179,Chris40
41,Chris,John,christopher.john@yahoo.com,779-32-0969 ,180,Chris41
42,Christopher,Olver,none,718-49-4795 ,181,Christopher42
43,Christopher,Neal,none,914-07-3422 ,182,Christopher43
44,Ciro,McGovern,none,302-57-7121 ,183,Ciro44
45,Collin,Frank,none,597-39-7326 ,184,Collin45
46,Curt,Meehan,none,309-67-4711 ,185,Curt46
47,Dale,Tierney,none,212-64-8010 ,186,Dale47
48,Dan,Markey,none,350-58-6347 ,187,Dan48
49,Danny,Capuano,none,585-16-8644 ,188,Danny49
50,Darlene,Lynch,stephen.lynch@yahoo.com,209-27-0215 ,189,Darlene50
51,Dave,Delahunt,william.delahunt@yahoo.com,195-01-8028 ,190,Dave51
52,David,Gilchrest,none,434-82-2065 ,191,David52
53,David,Ruppersberger,none,379-45-0028 ,192,David53
54,David,Cardin,rep.cardin@yahoo.com,790-69-8686 ,193,David54
55,David,Wynn,none,251-64-2300 ,194,David55
56,David,Hoyer,none,585-62-8486 ,195,David56
57,Deborah,Bartlett,none,140-64-7566 ,196,Deborah57
58,Dennis,Cummings,Rep.Cummings@yahoo.com,905-84-1000 ,197,Dennis58
59,Dennis,Van,chris.vanhollen@yahoo.com,347-96-1186 ,198,Dennis59
60,Dennis,Allen,rep.tomallen@yahoo.com,948-75-6562 ,199,Dennis60
61,Doc,Michaud,none,972-67-5058 ,200,Doc61
62,Donald,Stupak,stupak@yahoo.com,896-26-6976 ,201,Donald62
63,Donald,Hoekstra,tellhoek@yahoo.com,055-35-1142 ,202,Donald63
64,Donald,Ehlers,rep.ehlers@yahoo.com,774-26-9067 ,203,Donald64
65,Douglas,Camp,none,589-93-8048 ,204,Douglas65
66,Dutch,Kildee,dkildee@yahoo.com,434-55-2073 ,205,Dutch66
67,Earl,Upton,none,128-04-4367 ,206,Earl67
68,Earl,Smith,rep.smith@yahoo.com,840-80-6224 ,207,Earl68
69,Ed,Rogers,none,124-62-2923 ,208,Ed69
70,Eddie,Knollenberg,rep.knollenberg@yahoo.com,821-88-5934 ,209,Eddie70
71,Edolphus,Miller,none,960-93-9515 ,210,Edolphus71
72,Edward,McCotter,none,274-67-1221 ,211,Edward72
73,Edward,Levin,slevin@yahoo.com,217-14-2827 ,212,Edward73
74,Elijah,Conyers,john.conyers@yahoo.com,794-14-1454 ,213,Elijah74
75,Eliot,Kilpatrick,none,609-92-0796 ,214,Eliot75
76,Eric,Dingell,none,158-22-2790 ,215,Eric76
77,Ernest,Gutknecht,gil.gutknecht@yahoo.com,292-67-6361 ,216,Ernest77
78,Frank,Kline,none,466-27-4132 ,217,Frank78
79,Frank,Ramstad,mn03@yahoo.com,748-88-3725 ,218,Frank79
80,Frank,McCollum,betty.mccollum@yahoo.com,730-20-6049 ,219,Frank80
81,Frank,Sabo,martin.sabo@yahoo.com,036-75-7857 ,220,Frank81
82,Frank,Kennedy,mark.kennedy@yahoo.com,111-21-8171 ,221,Frank82
83,Fred,Peterson,none,589-31-3339 ,222,Fred83
84,Gary,Oberstar,none,416-22-2421 ,223,Gary84
85,Gene,Clay,none,447-87-3807 ,224,Gene85
86,Gene,Akin,none,732-08-4090 ,225,Gene86
87,George,Gephardt,none,167-24-2030 ,226,George87
88,Gerald,Skelton,ike.skelton@yahoo.com,565-53-8425 ,227,Gerald88
89,Gil,McCarthy,none,142-83-2194 ,228,Gil89
